model,block_number,pi_execution_time,gpu_execution_time
densenet161,0,411.9145074,0.115006715
densenet161,10,663.4257194,1.948608905
densenet161,11,15.48104078,0.034353733
densenet161,1,44.37188759,0.048286766
densenet161,2,35.60818478,0.026360005
densenet161,3,51.19368672,0.035191327
densenet161,4,2989.141871,1.505979747
densenet161,5,377.9920989,0.189948082
densenet161,6,1538.441001,1.35455668
densenet161,7,210.6082472,0.113797933
densenet161,8,2562.50669,3.246781975
densenet161,9,325.0457121,0.211658776
densenet161,10,4213.987,1.531356
densenet161,11,1245.653,0.971465
