block_number,pi_execution_time,gpu_execution_time
0,1816.23843,0.883117914
1,283.4597646,0.314431265
2,317.7993757,0.326366872
3,331.4119463,0.331242383
4,313.3097961,0.230276957
5,321.5838641,0.41997835
6,387.2879469,0.41538626
7,387.1346541,0.428256541
8,484.1022551,0.563199073
9,230.7885561,0.264205933
10,251.7711443,0.402127057
11,357.9956398,0.405080542
12,135.642,0.451456
13,246.156,0.235667
14,135.5732,0.1246779
15,135.08732,0.3245146
16,245.68,0.2356115
17,177.3761883,0.012208
18,275.8211002,0.01882121
