model,block_number,pi_execution_time,gpu_execution_time
resnet34,0,216.702133,0.11482209
resnet34,10,148.1292643,0.110351592
resnet34,11,148.278437,0.109576434
resnet34,12,146.3105085,0.109596252
resnet34,13,133.2189205,0.172858536
resnet34,14,152.9041265,0.128592253
resnet34,15,155.2931854,0.12917012
resnet34,1,219.8053297,0.115053207
resnet34,2,218.5074614,0.115474015
resnet34,3,147.6282528,0.122079253
resnet34,4,145.3321078,0.11458829
resnet34,5,145.993679,0.114003718
resnet34,6,145.5582826,0.114158988
resnet34,7,129.1873877,0.11434406
resnet34,8,148.2810093,0.11231944
resnet34,9,148.7246047,0.11004746
