block_number,pi_execution_time,gpu_execution_time
0,865.965151,0.382392406
1,96.18963659,0.223477036
2,1739.942511,0.650433153
3,96.38008356,0.221618786
4,142.1705447,0.198140442
5,821.4179479,0.328757092
6,46.90449372,0.032842159
7,1295.028992,0.603056774
8,47.52976462,0.032670945
9,48.68779309,0.096811876
10,565.730188,0.276572779
11,23.18337053,0.018293336
12,1178.009729,0.546597168
13,23.5538882,0.018284023
14,1328.343671,0.542908609
15,21.9352717,0.018274114
16,1237.031565,0.545920655
17,23.73045534,0.020190179
18,24.68780279,0.022336319
19,604.9875326,0.284496844
20,10.42605884,0.012081936
21,1252.900414,0.474500433
22,10.43934226,0.012105256
23,1258.924481,0.474792719
24,10.99899665,0.012038276
25,1253.03038,0.474684238
26,10.61004028,0.012397692
27,12.32555613,0.015569627
28,295.3973617,0.155786723
29,2.728579417,0.007914603
30,294.9463801,0.155582428
31,2.945011035,0.008263066
32,293.4165246,0.155280679
33,3.054330274,0.007656738
34,292.429676,0.155323595
