model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
vgg16,1.5,1,0.0,1.0,0.4930997843538084,0.0477130569182079
vgg16,1.5,2,0.0074374745590768,0.9556565169313096,0.9971237485115356,1.716164792602466e-05
vgg16,1.5,3,0.1567903294998725,0.8254054537724813,1.0,0.0
vgg16,1.5,4,0.164328349627354,0.8367165628058378,0.9992953407943326,2.3862479578622884e-05
vgg16,1.5,5,0.1746848633566022,0.7818112336178421,0.2391167295332601,0.145563090596542
vgg16,1.5,6,0.2449920142253315,0.7523610242453738,0.4954818953029856,0.0482967044318975
vgg16,1.5,7,0.2495320271341823,0.758670544390425,0.4956533071617007,0.0482281266002394
vgg16,1.5,8,0.3651852610547207,0.5958192295959137,0.5050758808869537,0.0469783786743904
vgg16,1.5,9,0.3603580355522777,0.6214365370918301,0.4984408465291811,0.048217615392712
vgg16,1.5,10,0.3698276899112853,0.6041426317905949,0.1182712386286259,0.3286447569802116
vgg16,1.5,11,0.4083382641339959,0.576373673902561,0.2478525323680472,0.1417680592117653
vgg16,1.5,12,0.4102522866837391,0.5837403511546344,0.2466774765270544,0.1425555385000497
vgg16,1.5,13,0.5180702892792359,0.4600029074509849,0.2508748297387774,0.1411533398569773
vgg16,1.5,14,0.5111461181306147,0.4528228556852204,0.2504837542870046,0.1415663527227256
vgg16,1.5,15,0.6050639958681482,0.3575427375695586,0.2537253856119777,0.1401269321584931
vgg16,1.5,16,0.6099406088947562,0.3392741625674167,0.2537494035976505,0.1400446639656839
vgg16,1.5,17,0.6208080737947188,0.3803647241959828,0.0626788956873904,0.6370871495723771
vgg16,1.5,18,0.6901389453115577,0.2931971296629615,0.1267003394477291,0.3130314633697098
vgg16,1.5,19,0.7101122488487553,0.3098699601078635,0.1267325109094519,0.3117187449690047
vgg16,1.5,20,0.7907267906287923,0.1832269260722759,0.1266902992719348,0.304035456323434
vgg16,1.5,21,0.7969407771686615,0.1840807056609065,0.1266931984430352,0.3073028427372271
vgg16,1.5,22,0.91446946102836,0.0804842801477983,0.126688712158186,0.3009940241998615
vgg16,1.5,23,0.9159472714965284,0.0779770018900339,0.1266903198702995,0.2995970076259289
vgg16,1.5,24,0.9139138680247108,0.0751315972924696,0.0314029704185843,1.0
vgg16,1.5,25,0.92956931691817,0.0501057357946726,0.0314035663741113,0.966054223945207
vgg16,1.5,26,0.9310632284990696,0.0520806226225378,0.0314037868805804,0.994139874820656
vgg16,1.5,27,0.9797035741715414,0.0252527087901214,0.0314037676467761,0.9676328504286822
vgg16,1.5,28,0.9657068442222604,0.0242117943056624,0.0314032689974042,0.9783522762059608
vgg16,1.5,29,1.0,0.0003898583385529,0.0314042828333209,0.96299445747151
vgg16,1.5,30,0.9909837382660686,0.0,0.0314035860627691,0.96724697150422
vgg16,0.095,1,0.0,1.0,0.0061257382711122,0.0060710231598882
vgg16,0.095,2,0.0077966051511038,0.9986581239443556,0.0066078547830311,0.0
vgg16,0.095,3,0.15934769622346,0.8594123467817993,0.0070127188703079,0.0548212617333455
vgg16,0.095,4,0.1674087288280789,0.8309698437280791,0.0080384515691019,0.0381294915227273
vgg16,0.095,5,0.1797640283331551,0.8137451286484148,0.0004972073117114,0.4173293874259716
vgg16,0.095,6,0.2500606421745048,0.7490190411699884,0.0016280616449268,0.4031740758458291
vgg16,0.095,7,0.2525581073052446,0.742837792247078,0.0013837591587071,0.4187967673445678
vgg16,0.095,8,0.3599976998460791,0.6368101451155544,0.0017271514470481,0.5638100259338691
vgg16,0.095,9,0.3658685622800504,0.6469901636863765,0.0017474596030675,0.5519575390300896
vgg16,0.095,10,0.3760306457653274,0.6284895279224575,0.0001721298855447,0.7455450313368192
vgg16,0.095,11,0.4150920555698991,0.5690224345782863,0.0004287031002889,0.8568556422949929
vgg16,0.095,12,0.4219957940469841,0.5682021528424506,0.0004584083261389,0.8548072768189431
vgg16,0.095,13,0.517960681162161,0.4629826352988624,0.000429243514957,1.0
vgg16,0.095,14,0.5218400881920506,0.462419434302028,0.0004756606262176,0.986973209346794
vgg16,0.095,15,0.621309787490475,0.3618405068117921,0.0004705161277714,0.7391812735874347
vgg16,0.095,16,0.6188555545287001,0.3617938230284869,0.0004480990029816,0.746695083747165
