model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
alexnet,1.5,1,0.0,1.0,1.0,0.0
alexnet,1.5,2,0.027,0.965,1.0,0.0
alexnet,1.5,3,0.039,0.945,0.226,0.158
alexnet,1.5,4,0.345,0.632,0.721,0.019
alexnet,1.5,5,0.352,0.639,0.721,0.019
alexnet,1.5,6,0.364,0.621,0.154,0.248
alexnet,1.5,7,0.541,0.454,0.327,0.099
alexnet,1.5,8,0.545,0.443,0.327,0.099
alexnet,1.5,9,0.816,0.206,0.215,0.174
alexnet,1.5,10,0.813,0.196,0.215,0.174
alexnet,1.5,11,0.986,0.012,0.217,0.174
alexnet,1.5,12,0.993,0.02,0.217,0.174
alexnet,1.5,13,0.986,0.001,0.038,1.0
alexnet,1.5,14,1.0,0.0,0.038,1.0
alexnet,1.5,15,1.0,0.0,0.038,1.0
alexnet,0.095,1,0.0,1.0,0.002,0.0
alexnet,0.095,2,0.013,0.971,0.001,0.028
alexnet,0.095,3,0.034,0.927,0.0,0.146
alexnet,0.095,4,0.344,0.657,0.001,0.293
alexnet,0.095,5,0.361,0.653,0.001,0.299
alexnet,0.095,6,0.361,0.619,0.0,0.418
alexnet,0.095,7,0.547,0.45,0.0,0.593
alexnet,0.095,8,0.555,0.475,0.0,0.563
alexnet,0.095,9,0.828,0.193,0.0,0.95
alexnet,0.095,10,0.826,0.169,0.0,1.0
alexnet,0.095,11,0.989,0.0,0.0,0.988
alexnet,0.095,12,1.0,0.007,0.0,0.946
alexnet,5.0,1,0.035,0.999,0.001,0.621
alexnet,5.0,2,0.034,0.986,0.001,0.631
alexnet,5.0,3,0.091,1.0,0.0,0.659
alexnet,5.0,4,0.391,0.833,0.001,0.765
alexnet,5.0,5,0.407,0.829,0.001,0.775
alexnet,5.0,6,0.414,0.805,0.0,0.834
alexnet,5.0,7,0.574,0.723,0.0,0.914
alexnet,5.0,8,0.575,0.719,0.0,0.918
alexnet,5.0,9,0.843,0.593,0.0,0.977
alexnet,5.0,10,0.818,0.599,0.0,1.0
alexnet,5.0,11,0.967,0.511,0.0,0.973
alexnet,5.0,12,1.0,0.507,0.0,0.928
alexnet,5.0,1,0.0,0.015,0.305,0.0
alexnet,5.0,2,0.01,0.016,0.305,0.0
alexnet,5.0,3,0.03,0.012,0.073,0.158
alexnet,5.0,4,0.276,0.009,0.22,0.019
alexnet,5.0,5,0.282,0.009,0.22,0.019
alexnet,5.0,6,0.289,0.009,0.051,0.249
alexnet,5.0,7,0.432,0.008,0.102,0.099
alexnet,5.0,8,0.436,0.005,0.102,0.099
alexnet,5.0,9,0.664,0.006,0.068,0.174
alexnet,5.0,10,0.653,0.005,0.068,0.174
alexnet,5.0,11,0.799,0.0,0.068,0.174
alexnet,5.0,12,0.798,0.003,0.068,0.174
alexnet,1.0,1,0.0,1.0,0.024,0.313
alexnet,1.0,2,0.008,0.99,0.024,0.317
alexnet,1.0,3,0.03,0.954,0.023,0.376
alexnet,1.0,4,0.343,0.662,0.023,0.362
alexnet,1.0,5,0.354,0.652,0.023,0.363
alexnet,1.0,6,0.359,0.634,0.022,0.443
alexnet,1.0,7,0.551,0.47,0.023,0.43
alexnet,1.0,8,0.556,0.463,0.008,0.843
alexnet,1.0,9,0.822,0.19,0.022,0.391
alexnet,1.0,10,0.829,0.198,0.022,0.381
alexnet,1.0,11,1.0,0.041,0.009,1.0
alexnet,1.0,12,0.995,0.0,0.038,0.0
alexnet,2.0,1,0.0,1.0,0.745,0.0
alexnet,2.0,2,0.012,0.989,0.745,0.0
alexnet,2.0,3,0.038,0.981,0.165,0.634
alexnet,2.0,4,0.346,0.659,0.536,0.077
alexnet,2.0,5,0.356,0.636,0.536,0.077
alexnet,2.0,6,0.37,0.636,0.112,1.0
alexnet,2.0,7,0.547,0.454,0.241,0.399
alexnet,2.0,8,0.552,0.452,0.241,0.399
alexnet,2.0,9,0.825,0.188,0.158,0.7
alexnet,2.0,10,0.832,0.191,0.158,0.7
alexnet,2.0,11,0.998,0.004,0.16,0.7
alexnet,2.0,12,1.0,0.0,0.16,0.7
