model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
inceptionv3,1.5,1,0.0,1.0,0.503,0.022
inceptionv3,1.5,2,0.05,0.954,0.49,0.023
inceptionv3,1.5,3,0.166,0.846,1.0,0.0
inceptionv3,1.5,4,0.167,0.83,0.235,0.07
inceptionv3,1.5,5,0.191,0.806,0.298,0.051
inceptionv3,1.5,6,0.289,0.703,0.697,0.01
inceptionv3,1.5,7,0.304,0.7,0.159,0.111
inceptionv3,1.5,8,0.362,0.645,0.218,0.078
inceptionv3,1.5,9,0.425,0.576,0.248,0.067
inceptionv3,1.5,10,0.49,0.516,0.253,0.066
inceptionv3,1.5,11,0.55,0.45,0.157,0.118
inceptionv3,1.5,12,0.608,0.393,0.159,0.117
inceptionv3,1.5,13,0.682,0.321,0.162,0.115
inceptionv3,1.5,14,0.757,0.244,0.162,0.114
inceptionv3,1.5,15,0.843,0.157,0.162,0.113
inceptionv3,1.5,16,0.881,0.115,0.06,0.313
inceptionv3,1.5,17,0.931,0.068,0.096,0.187
inceptionv3,1.5,18,1.0,0.0,0.096,0.193
inceptionv3,1.5,19,0.992,0.0,0.001,1.0
inceptionv3,0.095,1,0.0,1.0,0.001,0.007
inceptionv3,0.095,2,0.052,0.956,0.001,0.059
inceptionv3,0.095,3,0.16,0.843,0.003,0.031
inceptionv3,0.095,4,0.18,0.83,0.0,0.26
inceptionv3,0.095,5,0.203,0.808,0.001,0.29
inceptionv3,0.095,6,0.285,0.702,0.001,0.409
inceptionv3,0.095,7,0.313,0.694,0.0,0.533
inceptionv3,0.095,8,0.377,0.641,0.0,0.653
inceptionv3,0.095,9,0.479,0.745,0.0,0.362
inceptionv3,0.095,10,0.477,0.515,0.0,1.0
inceptionv3,0.095,11,0.559,0.454,0.0,0.8
inceptionv3,0.095,12,0.623,0.397,0.0,0.619
inceptionv3,0.095,13,0.689,0.322,0.0,0.466
inceptionv3,0.095,14,0.749,0.248,0.0,0.34
inceptionv3,0.095,15,0.839,0.161,0.0,0.2
inceptionv3,0.095,16,0.889,0.12,0.0,0.139
inceptionv3,0.095,17,0.928,0.072,0.0,0.09
