model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
mobilenetv2,1.5,1,0.0,1.0,1.0,0.0
mobilenetv2,1.5,2,0.109,0.9,0.491,0.024
mobilenetv2,1.5,3,0.505,0.557,0.179,0.104
mobilenetv2,1.5,4,0.605,0.431,0.182,0.104
mobilenetv2,1.5,5,0.69,0.388,0.055,0.361
mobilenetv2,1.5,6,0.709,0.354,0.056,0.36
mobilenetv2,1.5,7,0.769,0.304,0.057,0.361
mobilenetv2,1.5,8,0.826,0.238,0.026,0.747
mobilenetv2,1.5,9,0.832,0.224,0.027,0.746
mobilenetv2,1.5,10,0.858,0.207,0.027,0.747
mobilenetv2,1.5,11,0.859,0.176,0.028,0.748
mobilenetv2,1.5,12,0.852,0.168,0.044,0.489
mobilenetv2,1.5,13,0.941,0.124,0.045,0.489
mobilenetv2,1.5,14,0.912,0.086,0.045,0.49
mobilenetv2,1.5,15,0.943,0.058,0.017,1.0
mobilenetv2,1.5,16,0.953,0.04,0.017,0.991
mobilenetv2,1.5,17,0.973,0.022,0.017,0.971
mobilenetv2,1.5,18,1.0,0.0,0.039,0.593
mobilenetv2,0.095,1,0.0,1.0,0.002,0.0
mobilenetv2,0.095,2,0.108,0.901,0.001,0.171
mobilenetv2,0.095,3,0.472,0.563,0.0,1.0
mobilenetv2,0.095,4,0.564,0.429,0.0,0.845
mobilenetv2,0.095,5,0.648,0.361,0.0,0.612
mobilenetv2,0.095,6,0.71,0.352,0.0,0.465
mobilenetv2,0.095,7,0.717,0.305,0.0,0.469
mobilenetv2,0.095,8,0.741,0.251,0.0,0.432
mobilenetv2,0.095,9,0.783,0.231,0.0,0.34
mobilenetv2,0.095,10,0.815,0.221,0.0,0.28
mobilenetv2,0.095,11,0.804,0.192,0.0,0.308
mobilenetv2,0.095,12,0.819,0.152,0.0,0.288
mobilenetv2,0.095,13,0.887,0.116,0.0,0.182
mobilenetv2,0.095,14,0.938,0.08,0.0,0.11
mobilenetv2,0.095,15,0.947,0.059,0.0,0.101
mobilenetv2,0.095,16,0.961,0.041,0.0,0.089
mobilenetv2,0.095,17,0.959,0.022,0.0,0.1
mobilenetv2,0.095,18,1.0,0.0,0.0,0.043
mobilenetv2,5.0,1,0.012,1.0,0.287,0.0
mobilenetv2,5.0,2,0.103,0.829,0.136,0.067
mobilenetv2,5.0,3,0.446,0.528,0.048,0.279
mobilenetv2,5.0,4,0.553,0.398,0.05,0.281
mobilenetv2,5.0,5,0.631,0.365,0.017,0.701
mobilenetv2,5.0,6,0.67,0.305,0.018,0.703
mobilenetv2,5.0,7,0.69,0.262,0.018,0.672
mobilenetv2,5.0,8,0.717,0.244,0.009,1.0
mobilenetv2,5.0,9,0.756,0.223,0.009,0.936
mobilenetv2,5.0,10,0.758,0.212,0.009,0.935
mobilenetv2,5.0,11,0.797,0.188,0.009,0.899
mobilenetv2,5.0,12,0.804,0.159,0.014,0.727
mobilenetv2,5.0,13,0.836,0.126,0.014,0.701
mobilenetv2,5.0,14,0.85,0.087,0.014,0.701
mobilenetv2,5.0,15,0.861,0.067,0.005,0.838
mobilenetv2,5.0,16,0.927,0.05,0.005,0.774
mobilenetv2,5.0,17,0.921,0.034,0.005,0.781
mobilenetv2,5.0,18,0.928,0.014,0.011,0.779
mobilenetv2,5.0,1,0.0,0.026,0.305,0.001
mobilenetv2,5.0,2,0.108,0.024,0.152,0.069
mobilenetv2,5.0,3,0.477,0.012,0.057,0.297
mobilenetv2,5.0,4,0.561,0.009,0.057,0.289
mobilenetv2,5.0,5,0.643,0.011,0.018,0.878
mobilenetv2,5.0,6,0.698,0.01,0.018,0.773
mobilenetv2,5.0,7,0.726,0.008,0.018,0.753
mobilenetv2,5.0,8,0.727,0.007,0.009,0.977
mobilenetv2,5.0,9,0.753,0.006,0.009,0.938
mobilenetv2,5.0,10,0.752,0.006,0.009,0.945
mobilenetv2,5.0,11,0.806,0.005,0.009,0.881
mobilenetv2,5.0,12,0.848,0.005,0.014,0.696
mobilenetv2,5.0,13,0.82,0.004,0.014,0.723
mobilenetv2,5.0,14,0.868,0.002,0.014,0.714
mobilenetv2,5.0,15,0.906,0.001,0.005,0.792
mobilenetv2,5.0,16,0.894,0.001,0.005,0.813
mobilenetv2,5.0,17,0.94,0.001,0.005,0.772
mobilenetv2,5.0,18,1.0,0.0,0.011,0.717
mobilenetv2,1.0,1,0.0,1.0,0.032,0.032
mobilenetv2,1.0,2,0.106,0.911,0.021,0.193
mobilenetv2,1.0,3,0.456,0.565,0.021,0.0
mobilenetv2,1.0,4,0.584,0.437,0.01,0.277
mobilenetv2,1.0,5,0.627,0.384,0.01,1.0
mobilenetv2,1.0,6,0.664,0.32,0.01,0.84
mobilenetv2,1.0,7,0.756,0.285,0.011,0.702
mobilenetv2,1.0,8,0.723,0.255,0.009,0.755
mobilenetv2,1.0,9,0.768,0.234,0.01,0.63
mobilenetv2,1.0,10,0.795,0.211,0.01,0.606
mobilenetv2,1.0,11,0.785,0.188,0.009,0.671
mobilenetv2,1.0,12,0.821,0.168,0.009,0.73
mobilenetv2,1.0,13,0.858,0.123,0.01,0.678
mobilenetv2,1.0,14,0.907,0.088,0.01,0.621
mobilenetv2,1.0,15,0.933,0.06,0.01,0.499
mobilenetv2,1.0,16,0.949,0.041,0.009,0.566
mobilenetv2,1.0,17,0.943,0.022,0.01,0.496
mobilenetv2,1.0,18,1.0,0.0,0.011,0.449
mobilenetv2,2.0,1,0.0,1.0,0.745,0.0
mobilenetv2,2.0,2,0.112,0.916,0.365,0.032
mobilenetv2,2.0,3,0.482,0.571,0.132,0.139
mobilenetv2,2.0,4,0.601,0.433,0.134,0.139
mobilenetv2,2.0,5,0.637,0.374,0.04,0.481
mobilenetv2,2.0,6,0.677,0.357,0.04,0.482
mobilenetv2,2.0,7,0.727,0.263,0.042,0.484
mobilenetv2,2.0,8,0.749,0.274,0.018,1.0
mobilenetv2,2.0,9,0.768,0.241,0.018,0.998
mobilenetv2,2.0,10,0.801,0.211,0.019,0.998
mobilenetv2,2.0,11,0.881,0.2,0.02,0.926
mobilenetv2,2.0,12,0.839,0.172,0.032,0.654
mobilenetv2,2.0,13,0.916,0.13,0.033,0.647
mobilenetv2,2.0,14,0.953,0.087,0.034,0.652
mobilenetv2,2.0,15,0.974,0.06,0.013,0.949
mobilenetv2,2.0,16,1.0,0.041,0.013,0.922
mobilenetv2,2.0,17,0.961,0.022,0.013,0.973
mobilenetv2,2.0,18,0.983,0.0,0.029,0.784
