model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
resnet18,1.5,1,0.0,1.0,0.995,0.0
resnet18,1.5,2,0.205,0.795,1.0,0.0
resnet18,1.5,3,0.345,0.663,0.492,0.143
resnet18,1.5,4,0.469,0.521,0.496,0.143
resnet18,1.5,5,0.59,0.4,0.244,0.429
resnet18,1.5,6,0.734,0.272,0.247,0.429
resnet18,1.5,7,0.856,0.144,0.123,1.0
resnet18,1.5,8,1.0,0.0,0.127,1.0
resnet18,0.095,1,0.0,1.0,0.002,0.536
resnet18,0.095,2,0.19,0.787,0.002,1.0
resnet18,0.095,3,0.348,0.643,0.001,0.977
resnet18,0.095,4,0.477,0.508,0.001,0.667
resnet18,0.095,5,0.603,0.395,0.0,0.465
resnet18,0.095,6,0.737,0.257,0.0,0.271
resnet18,0.095,7,0.853,0.147,0.0,0.147
resnet18,0.095,8,1.0,0.0,0.0,0.0
resnet18,5.0,1,0.012,1.0,0.279,0.0
resnet18,5.0,2,0.195,0.788,0.285,0.0
resnet18,5.0,3,0.361,0.653,0.135,0.209
resnet18,5.0,4,0.493,0.514,0.144,0.195
resnet18,5.0,5,0.599,0.392,0.075,0.51
resnet18,5.0,6,0.725,0.261,0.075,0.47
resnet18,5.0,7,0.853,0.146,0.037,0.855
resnet18,5.0,8,0.994,0.002,0.037,0.784
resnet18,5.0,1,0.0,0.023,0.306,0.001
resnet18,5.0,2,0.206,0.014,0.306,0.001
resnet18,5.0,3,0.335,0.014,0.153,0.209
resnet18,5.0,4,0.496,0.011,0.152,0.202
resnet18,5.0,5,0.611,0.009,0.075,0.555
resnet18,5.0,6,0.733,0.005,0.075,0.521
resnet18,5.0,7,0.856,0.004,0.037,1.0
resnet18,5.0,8,1.0,0.0,0.037,0.91
resnet18,1.0,1,0.0,1.0,0.023,0.0
resnet18,1.0,2,0.207,0.795,0.027,0.071
resnet18,1.0,3,0.333,0.671,0.013,1.0
resnet18,1.0,4,0.484,0.518,0.021,0.743
resnet18,1.0,5,0.597,0.395,0.019,0.598
resnet18,1.0,6,0.733,0.257,0.019,0.319
resnet18,1.0,7,0.858,0.146,0.017,0.211
resnet18,1.0,8,1.0,0.0,0.017,0.055
resnet18,2.0,1,0.0,1.0,0.738,0.0
resnet18,2.0,2,0.192,0.795,0.744,0.0
resnet18,2.0,3,0.352,0.651,0.365,0.143
resnet18,2.0,4,0.472,0.515,0.369,0.143
resnet18,2.0,5,0.6,0.4,0.18,0.429
resnet18,2.0,6,0.737,0.26,0.184,0.429
resnet18,2.0,7,0.851,0.145,0.091,1.0
resnet18,2.0,8,1.0,0.0,0.095,0.999
