model_name,bandwidth_mbps,split_index,part1_inference_time_s,part2_inference_time_s,network_time_s,system_inference_throughput_imgs_per_s
vgg16,1.5,1,0.0,1.0,0.493,0.048
vgg16,1.5,2,0.007,0.956,0.997,0.0
vgg16,1.5,3,0.157,0.825,1.0,0.0
vgg16,1.5,4,0.164,0.837,0.999,0.0
vgg16,1.5,5,0.175,0.782,0.239,0.146
vgg16,1.5,6,0.245,0.752,0.495,0.048
vgg16,1.5,7,0.25,0.759,0.496,0.048
vgg16,1.5,8,0.365,0.596,0.505,0.047
vgg16,1.5,9,0.36,0.621,0.498,0.048
vgg16,1.5,10,0.37,0.604,0.118,0.329
vgg16,1.5,11,0.408,0.576,0.248,0.142
vgg16,1.5,12,0.41,0.584,0.247,0.143
vgg16,1.5,13,0.518,0.46,0.251,0.141
vgg16,1.5,14,0.511,0.453,0.25,0.142
vgg16,1.5,15,0.605,0.358,0.254,0.14
vgg16,1.5,16,0.61,0.339,0.254,0.14
vgg16,1.5,17,0.621,0.38,0.063,0.637
vgg16,1.5,18,0.69,0.293,0.127,0.313
vgg16,1.5,19,0.71,0.31,0.127,0.312
vgg16,1.5,20,0.791,0.183,0.127,0.304
vgg16,1.5,21,0.797,0.184,0.127,0.307
vgg16,1.5,22,0.914,0.08,0.127,0.301
vgg16,1.5,23,0.916,0.078,0.127,0.3
vgg16,1.5,24,0.914,0.075,0.031,1.0
vgg16,1.5,25,0.93,0.05,0.031,0.966
vgg16,1.5,26,0.931,0.052,0.031,0.994
vgg16,1.5,27,0.98,0.025,0.031,0.968
vgg16,1.5,28,0.966,0.024,0.031,0.978
vgg16,1.5,29,1.0,0.0,0.031,0.963
vgg16,1.5,30,0.991,0.0,0.031,0.967
vgg16,0.095,1,0.0,1.0,0.006,0.006
vgg16,0.095,2,0.008,0.999,0.007,0.0
vgg16,0.095,3,0.159,0.859,0.007,0.055
vgg16,0.095,4,0.167,0.831,0.008,0.038
vgg16,0.095,5,0.18,0.814,0.0,0.417
vgg16,0.095,6,0.25,0.749,0.002,0.403
vgg16,0.095,7,0.253,0.743,0.001,0.419
vgg16,0.095,8,0.36,0.637,0.002,0.564
vgg16,0.095,9,0.366,0.647,0.002,0.552
vgg16,0.095,10,0.376,0.628,0.0,0.746
vgg16,0.095,11,0.415,0.569,0.0,0.857
vgg16,0.095,12,0.422,0.568,0.0,0.855
vgg16,0.095,13,0.518,0.463,0.0,1.0
vgg16,0.095,14,0.522,0.462,0.0,0.987
vgg16,0.095,15,0.621,0.362,0.0,0.739
vgg16,0.095,16,0.619,0.362,0.0,0.747
vgg16,0.095,17,0.635,0.364,0.0,0.737
vgg16,0.095,18,0.696,0.318,0.0,0.612
vgg16,0.095,19,0.708,0.311,0.0,0.586
vgg16,0.095,20,0.811,0.201,0.0,0.434
vgg16,0.095,21,0.805,0.199,0.0,0.443
vgg16,0.095,22,0.925,0.085,0.0,0.298
vgg16,0.095,23,0.913,0.082,0.0,0.31
vgg16,0.095,24,0.931,0.082,0.0,0.296
vgg16,0.095,25,0.947,0.055,0.0,0.283
vgg16,0.095,26,0.951,0.054,0.0,0.276
vgg16,0.095,27,0.965,0.026,0.0,0.262
vgg16,0.095,28,0.976,0.028,0.0,0.249
vgg16,0.095,29,1.0,0.0,0.0,0.229
vgg16,0.095,30,0.994,0.0,0.0,0.235
vgg16,5.0,1,0.0,1.0,0.296,0.0
vgg16,5.0,2,0.008,0.963,0.296,0.0
vgg16,5.0,3,0.157,0.837,0.296,0.001
vgg16,5.0,4,0.165,0.82,0.296,0.001
vgg16,5.0,5,0.177,0.801,0.067,0.268
