Model name,Split point,Partition 1 exec time (s),Partition 2 exec time (s),Network Transfer Time (s)
AlexNet,1,0.09967002272605896,0.7274995446205139,0.04928719997406006
AlexNet,2,0.09931239485740662,0.717684268951416,0.04871135950088501
AlexNet,3,0.12259677052497864,0.7281188368797302,0.004641860723495483
AlexNet,4,0.2447124719619751,0.6079468429088593,0.027988731861114502
AlexNet,5,0.25110775232315063,0.6050550043582916,0.026838690042495728
AlexNet,6,0.25399303436279297,0.588007390499115,0.003447204828262329
AlexNet,7,0.3191896677017212,0.5282841920852661,0.010386884212493896
AlexNet,8,0.3197806477546692,0.5256024897098541,0.010568827390670776
AlexNet,9,0.4288851320743561,0.43474555015563965,0.014451771974563599
AlexNet,10,0.4187037944793701,0.43905511498451233,0.013041555881500244
AlexNet,11,0.4796695411205292,0.37570348381996155,0.013595938682556152
AlexNet,12,0.4929848909378052,0.37302303314208984,0.01567929983139038
InceptionV3,1,0.22015896439552307,5.312234342098236,0.2496858835220337
InceptionV3,2,0.5006060302257538,5.078705847263336,0.21453067660331726
InceptionV3,3,1.077619582414627,4.477606445550919,0.8063145279884338
InceptionV3,4,1.1818638145923615,4.408743768930435,0.11157059669494629
InceptionV3,5,1.304496020078659,4.293779015541077,0.12854039669036865
InceptionV3,6,1.742505669593811,3.731861174106598,0.3548644483089447
InceptionV3,7,1.8915959596633911,3.6873823702335358,0.06607568264007568
InceptionV3,8,2.234596222639084,3.408075511455536,0.09437969326972961
InceptionV3,9,2.7802152037620544,3.9590155482292175,0.10739824175834656
InceptionV3,10,2.7716133892536163,2.734681010246277,0.118043452501297
InceptionV3,11,3.2070730924606323,2.4154674410820007,0.06963780522346497
InceptionV3,12,3.547743022441864,2.1109644770622253,0.07559400796890259
InceptionV3,13,3.903813123703003,1.712902992963791,0.07003378868103027
InceptionV3,14,4.222125291824341,1.3206451535224915,0.07030653953552246
InceptionV3,15,4.702841699123383,0.8604111671447754,0.06972852349281311
InceptionV3,16,4.9711902141571045,0.6399978399276733,0.025848478078842163
InceptionV3,17,5.181504637002945,0.38522374629974365,0.04110676050186157
InceptionV3,18,5.564310789108276,0.003094792366027832,0.041108548641204834
InceptionV3,19,5.5302837789058685,0.0030774176120758057,0.0006498992443084717
MobileNetV2,1,0.07801573276519776,1.0414498090744018,0.07975714206695557
MobileNetV2,2,0.18434586524963378,0.9673093080520629,0.028486251831054688
MobileNetV2,3,0.578066086769104,0.6613630533218384,0.004851531982421875
MobileNetV2,4,0.7254218339920044,0.497452974319458,0.01693105697631836
MobileNetV2,5,0.7057917594909668,0.4175234794616699,0.005872511863708496
MobileNetV2,6,0.736626410484314,0.37754011154174805,0.006481385231018067
MobileNetV2,7,0.8687251329421997,0.3041889190673828,0.005326080322265625
MobileNetV2,8,0.9039657831192016,0.28121724128723147,0.002611517906188965
MobileNetV2,9,0.929812240600586,0.25730788707733154,0.0025904178619384766
MobileNetV2,10,1.1408232212066651,0.30577032566070556,0.0024564266204833984
MobileNetV2,11,1.0974841833114624,0.2988192081451416,0.002562737464904785
MobileNetV2,12,1.2564269065856934,0.2738680124282837,0.004146003723144531
MobileNetV2,13,1.2561693429946899,0.22363462448120117,0.004288291931152344
MobileNetV2,14,1.0444957733154296,0.11283681392669678,0.004065823554992676
MobileNetV2,15,1.1105860233306886,0.08745396137237549,0.0016028165817260742
MobileNetV2,16,1.1323711395263671,0.06568515300750732,0.001479363441467285
MobileNetV2,17,1.1484840154647826,0.04465763568878174,0.0015742778778076172
MobileNetV2,18,1.1817261219024657,0.01970844268798828,0.0035055875778198242
ResNet18,1,0.25567230582237244,1.3524664640426636,0.34066805243492126
ResNet18,2,0.26992371678352356,1.3167250156402588,0.32576102018356323
