block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,1.126,0.0889,5.9082,109.5985814,0.099270344,,,,,,
1,0.0015,0.0,5.9082,106.5895327,0.100172907,,,,,,
2,0.0015,0.0,1.4238,60.83106183,0.082417578,,,,,,
3,3.5843,1.1726,4.2715,91.08828224,0.08161962,,,,,,
4,0.0011,0.0,4.2715,61.49609707,0.075086653,,,,,,
5,0.0011,0.0,0.9902,0.506133288,0.012078136,,,,,,
6,1.7948,2.5327,1.9805,245.6751123,0.202581137,,,,,,
7,0.0005,0.0,1.9805,122.8584379,0.071154833,,,,,,
8,2.3927,3.376,1.3203,19.13778588,0.022760332,,,,,,
9,0.0003,0.0,1.3203,17.12344184,0.314489977,,,,,,
10,1.5952,2.251,1.3203,51.34522985,0.058184314,,,,,,
11,0.0003,0.0,1.3203,100.2341341,0.098321234,,,,,,
