block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),model,pi_execution_time,gpu_execution_time
0,1.8882,0.0359,24.5,densenet121,413.9145074,0.132500672
1,0.0128,0.0005,24.5,densenet121,14.71152425,0.026952922
2,0.0064,0.0,24.5,densenet121,22.91546352,0.018246472
3,0.0064,0.0,6.125,densenet121,34.31728899,0.026282817
4,16.77,1.2781,24.5,densenet121,1554.539434,0.720126182
5,1.6666,0.127,3.0625,densenet121,242.2789456,0.086839497
6,11.504,3.5083,12.25,densenet121,880.3323845,0.847284496
7,1.6554,0.5039,1.5312,densenet121,121.0369728,0.071872473
8,8.8709,10.8252,6.125,densenet121,768.9556667,1.828920245
9,1.6498,2.0078,0.7656,densenet121,118.6449963,0.073988885
10,1.6864,8.2324,1.5312,densenet121,205.1064616,1.257182807
11,0.0008,0.0078,1.5312,densenet121,8.047663495,0.032647401
