block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,0.324,0.0035,21.6807,1816.23843,0.883117914
1,3.203,0.0354,21.1025,283.4597646,0.314431265
2,6.4059,0.0708,42.2051,317.7993757,0.326366872
3,0.0111,0.0,10.4082,331.4119463,0.331242383
4,0.4468,0.0201,13.0103,313.3097961,0.230276957
5,11.1731,0.5288,29.5371,321.5838641,0.41997835
6,0.0077,0.0,7.1777,387.2879469,0.41538626
7,5.0131,0.9762,9.5703,387.1346541,0.428256541
8,5.4361,1.0585,10.7666,484.1022551,0.563199073
9,5.5869,1.0878,10.7666,230.7885561,0.264205933
10,6.4419,4.3994,6.7734,251.7711443,0.402127057
11,5.9974,4.9492,6.7734,357.9956398,0.405080542
12,7.817,6.4507,6.7734,135.642,0.451456
13,7.817,6.4507,6.7734,246.156,0.235667
14,9.9017,8.1709,6.7734,135.5732,0.1246779
15,4.664,6.4785,2.5,135.08732,0.3245146
16,5.1647,19.2437,4.0,245.68,0.2356115
17,6.222,23.1812,4.0,177.3761883,0.012208
18,0.001,0.0,0.0625,275.8211002,0.01882121
