block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,0.1798,0.0035,12.25,115.28904251754284,0.0716523081064224
1,0.1702,0.0034,6.125,180.9344831854105,0.094279870390892
2,0.4925,0.0196,2.2969,597.4623204767704,0.2665672451257705
3,0.4275,0.0337,2.2969,233.9589887112379,0.1512765139341354
4,0.2569,0.0381,0.7656,116.75849668681622,0.1288306713104248
5,0.181,0.0566,0.7656,71.38449348509312,0.1380185037851333
6,0.181,0.0566,0.7656,71.7322876304388,0.1386155188083648
7,0.1242,0.0803,0.3828,47.16977268457413,0.1353044807910919
8,0.1676,0.207,0.3828,38.60286474227905,0.1362264901399612
9,0.1676,0.207,0.3828,38.55601586401463,0.1427578926086425
10,0.1676,0.207,0.3828,38.941541239619255,0.134696289896965
11,0.2062,0.2542,0.5742,40.56324653327465,0.1258885115385055
12,0.367,0.4512,0.5742,58.1465408205986,0.1347852498292923
13,0.367,0.4512,0.5742,58.28632466495037,0.1351191103458404
14,0.2521,0.5923,0.2393,39.67830412089825,0.1261346787214279
15,0.2492,1.2207,0.2393,34.53890532255173,0.1516140252351761
16,0.2492,1.2207,0.2393,34.74355645477772,0.1522626727819442
17,0.3698,1.8079,0.4785,39.2932503670454,0.1286616921424865
