block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),model,pi_execution_time,gpu_execution_time
0,1.9139,0.0364,6.125,resnet34,216.702133,0.11482209
1,3.709,0.2822,6.125,resnet34,219.8053297,0.115053207
2,3.709,0.2822,6.125,resnet34,218.5074614,0.115474015
3,3.709,0.2822,3.0625,resnet34,147.6282528,0.122079253
4,2.8837,0.8779,3.0625,resnet34,145.3321078,0.11458829
5,3.7042,1.127,3.0625,resnet34,145.993679,0.114003718
6,3.7042,1.127,3.0625,resnet34,145.5582826,0.114158988
7,3.7042,1.127,1.5312,resnet34,129.1873877,0.11434406
8,2.8805,3.5059,1.5312,resnet34,148.2810093,0.11231944
9,3.7018,4.5039,1.5312,resnet34,148.7246047,0.11004746
10,3.7018,4.5039,1.5312,resnet34,148.1292643,0.110351592
11,3.7018,4.5039,1.5312,resnet34,148.278437,0.109576434
12,3.7018,4.5039,1.5312,resnet34,146.3105085,0.109596252
13,3.7018,4.5039,0.7656,resnet34,133.2189205,0.172858536
14,2.8789,14.0117,0.7656,resnet34,152.9041265,0.128592253
15,3.7006,18.0078,0.7656,resnet34,155.2931854,0.12917012
