block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,1.413,0.0068,98.0,858.0729641020298,0.3824934363365173
1,0.0257,0.0,98.0,92.28077135980128,0.2217587828636169
2,29.6207,0.1409,98.0,1710.730121731758,0.6498205661773682
3,0.0257,0.0,98.0,91.49713516235352,0.2216146141290664
4,0.0257,0.0,24.5,140.7945318520069,0.1982651650905609
5,14.8103,0.2817,49.0,807.0606467872858,0.3267940133810043
6,0.0128,0.0,49.0,45.64595453441143,0.0327978283166885
7,29.6079,0.563,49.0,1289.9318324029446,0.603262186050415
8,0.0128,0.0,49.0,45.35205572843552,0.0329034775495529
9,0.0128,0.0,12.25,48.48704390227795,0.0972373783588409
10,14.8039,1.126,24.5,565.2688505500555,0.275314450263977
11,0.0064,0.0,24.5,23.95727634429932,0.0183470547199249
12,29.6014,2.251,24.5,1336.303935572505,0.5457676947116852
13,0.0064,0.0,24.5,23.44888798892498,0.0182770937681198
14,29.6014,2.251,24.5,1310.001606866717,0.5418843030929565
15,0.0064,0.0,24.5,23.82302612066269,0.0183445215225219
16,0.0064,0.0,6.125,24.245904833078384,0.0222339481115341
17,14.8007,4.502,12.25,609.7768798470497,0.2837181836366653
18,0.0032,0.0,12.25,11.644396632909777,0.0122063606977462
19,29.5982,9.002,12.25,1241.8260990828276,0.4743328690528869
20,0.0032,0.0,12.25,10.96364289522171,0.0120459496974945
21,29.5982,9.002,12.25,1243.204051181674,0.4741434752941131
22,0.0032,0.0,12.25,11.83218739926815,0.012303814291954
23,0.0032,0.0,3.0625,12.27204605937004,0.0160058587789535
24,7.3996,9.002,3.0625,310.55161267519,0.1553013920783996
25,0.0008,0.0,3.0625,2.986593395471573,0.0081314146518707
26,7.3996,9.002,3.0625,315.678671002388,0.1555618643760681
27,0.0008,0.0,3.0625,3.080189675092697,0.0078169256448745
28,7.3996,9.002,3.0625,308.2793600857258,0.1556295901536941
29,0.0008,0.0,3.0625,3.083011358976364,0.0079473108053207
