block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.4544937588264564,-0.4941312163051141,-0.3650471664805794,-0.4604842919898796,-0.4802849203488907,alexnet_block_metrics_batch8,
1,-0.5884722634778154,-0.509876420003287,-0.3650471664805794,-0.4661017383864823,-0.4777875267742626,alexnet_block_metrics_batch8,
2,-0.5884722634778154,-0.509876420003287,-0.5802164167247942,-0.5515259979881052,-0.5269165566148485,alexnet_block_metrics_batch8,
3,-0.1615997099296701,-0.3021955892217624,-0.4435788567568051,-0.4950402675433421,-0.529124507951235,alexnet_block_metrics_batch8,
4,-0.588519921460795,-0.509876420003287,-0.4435788567568051,-0.5502844761036133,-0.5472012403334152,alexnet_block_metrics_batch8,
5,-0.588519921460795,-0.509876420003287,-0.6010212929414323,-0.6641436676401672,-0.7215459292943495,alexnet_block_metrics_batch8,
6,-0.3748096112845898,-0.0613063704379046,-0.5535049900877961,-0.2064496470316954,-0.1944237553909459,alexnet_block_metrics_batch8,
7,-0.5885914084352645,-0.509876420003287,-0.5535049900877961,-0.4357301120009043,-0.5580805939127159,alexnet_block_metrics_batch8,
8,-0.3035728412258547,0.0880516754413889,-0.5851825253235535,-0.6293611432776729,-0.6919882722074554,alexnet_block_metrics_batch8,
9,-0.5886152374267543,-0.509876420003287,-0.5851825253235535,-0.6331216240133339,0.1152282223215109,alexnet_block_metrics_batch8,
10,-0.3985909447914028,-0.11119865257261,-0.5851825253235535,-0.5692346354969726,-0.5939700451866903,alexnet_block_metrics_batch8,
11,-0.5886152374267543,-0.509876420003287,-0.5851825253235535,-0.4779663223543466,-0.4829111095629571,alexnet_block_metrics_batch8,
