block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.2511967179312904,-0.5003478265391509,1.114795617878984,0.1038945793604826,-0.4367423512170246,densenet161_block_metrics_batch8,densenet161
1,-0.5863514832352239,-0.5097524420214117,1.114795617878984,-0.5822528283732505,-0.6213565797330584,densenet161_block_metrics_batch8,densenet161
2,-0.5875071893224789,-0.509876420003287,1.114795617878984,-0.5986133581217158,-0.6820279700224973,densenet161_block_metrics_batch8,densenet161
3,-0.5875071893224789,-0.509876420003287,-0.2077006937471359,-0.569517543982152,-0.6575916848897452,densenet161_block_metrics_batch8,densenet161
4,3.8960128754479655,-0.0022220065041535,1.114795617878984,4.915194764326054,3.4120827309077897,densenet161_block_metrics_batch8,densenet161
5,-0.1438709402612644,-0.4595413593618839,-0.4281143465985429,0.0405664878635234,-0.2293794431212472,densenet161_block_metrics_batch8,densenet161
6,2.486563772313965,0.8829276506652353,0.2331314101282374,2.2069519981887886,2.993094810312456,densenet161_block_metrics_batch8,densenet161
7,-0.1458844900421519,-0.3095811347134813,-0.5383235721105261,-0.2719142687894437,-0.4400870533596186,densenet161_block_metrics_batch8,densenet161
8,3.71668779999153,7.292412202219554,-0.0423892545654408,4.118730333500344,8.228885878062664,densenet161_block_metrics_batch8,densenet161
9,0.2460428474862125,0.9998034652931802,-0.5727648547403756,-0.058276541743404,-0.1693059106406141,densenet161_block_metrics_batch8,densenet161
10,0.2954880048275322,5.899608131551031,-0.4901067360632485,7.201798452826437,3.482298872263393,densenet161_block_metrics_batch8,densenet161
11,-0.5884484344863258,-0.506900948438278,-0.4901067360632485,-0.6361877425232382,-0.6599093091151422,densenet161_block_metrics_batch8,densenet161
