block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.5520715610590959,-0.510838799465426,0.3882566351647132,2.717958523719185,1.6830295002051183,inceptionv3_block_metrics_batch8,
1,-0.2096053809355526,-0.5051992682409452,0.3605593372370843,-0.1377673811120943,0.112372113795171,inceptionv3_block_metrics_batch8,
2,0.1713897313665302,-0.4989409796720855,1.3714292771325856,-0.0737891178482914,0.1453371030890136,inceptionv3_block_metrics_batch8,
3,-0.5892920083535235,-0.5114575568098048,-0.1517257081234142,-0.0484274845144793,0.1588027917562939,inceptionv3_block_metrics_batch8,
4,-0.5374641116255527,-0.5079041217749438,-0.027078286924032,-0.0821536710971952,-0.1200539255550472,inceptionv3_block_metrics_batch8,
5,0.7384632895064939,-0.4179721614648061,0.7645988202885848,-0.0667382227618875,0.4038829290407889,inceptionv3_block_metrics_batch8,
6,-0.5896964491358854,-0.5114575568098048,-0.3064751390386767,0.0556753099552929,0.3912000216958703,inceptionv3_block_metrics_batch8,
7,0.0057117544036712,-0.3388772940719309,-0.1918633178320967,0.0553897095422222,0.4267464899545643,inceptionv3_block_metrics_batch8,
8,0.0560289458563488,-0.3243276570883958,-0.1345574072288066,0.236050424853509,0.7994446797210358,inceptionv3_block_metrics_batch8,
9,0.073967084085814,-0.319147774176882,-0.1345574072288066,-0.2358993149311019,-0.0263453834933786,inceptionv3_block_metrics_batch8,
10,0.1756720455327156,0.2663027462930453,-0.3258421704329007,-0.1968065730853573,0.3545793885818706,inceptionv3_block_metrics_batch8,
11,0.122797360897455,0.3635006857043166,-0.3258421704329007,0.0011006984435171,0.3627366277909468,inceptionv3_block_metrics_batch8,
12,0.3392445513638668,0.6289475864428103,-0.3258421704329007,-0.4131672343924844,0.4908211463635717,inceptionv3_block_metrics_batch8,
13,0.3392445513638668,0.6289475864428103,-0.3258421704329007,-0.20726817031322,-0.1051671493912248,inceptionv3_block_metrics_batch8,
14,0.5872262275373821,0.9330579818143434,-0.3258421704329007,-0.4132954159406019,-0.4117082824256181,inceptionv3_block_metrics_batch8,
15,-0.0358147976911981,0.6338622876353046,-0.5305492492359598,-0.4142006608621035,0.1402213074156738,inceptionv3_block_metrics_batch8,
16,0.0237450551701627,2.890594074053567,-0.4586953113400014,-0.2081550077682187,-0.1053204350101136,inceptionv3_block_metrics_batch8,
17,0.1495142431676002,3.586696086479687,-0.4586953113400014,-0.3354121055302788,-0.7223392414861466,inceptionv3_block_metrics_batch8,
18,-0.5904934353834809,-0.5114575568098048,-0.6473118983168923,-0.1519990065240385,-0.7040741966628769,inceptionv3_block_metrics_batch8,
