block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.5692246083580939,-0.510838799465426,-0.0634986529122301,-0.4510869087946687,-0.5581598260355457,mobilenetv2_block_metrics_batch8,
1,-0.5703665588024098,-0.510856478246694,-0.3569022326540603,-0.3287826324623955,-0.495664692905467,mobilenetv2_block_metrics_batch8,
2,-0.5320279516979229,-0.5079925156812837,-0.5402782724270726,0.447252004427511,-0.0198236683476432,mobilenetv2_block_metrics_batch8,
3,-0.5397599078313131,-0.5054998075225006,-0.5402782724270726,-0.2299924695777506,-0.338245489660254,mobilenetv2_block_metrics_batch8,
4,-0.5600533188521802,-0.5047219411467101,-0.6136315624937934,-0.44834916300535,-0.400238730706302,mobilenetv2_block_metrics_batch8,
5,-0.5690818645525543,-0.5014513666121366,-0.6136315624937934,-0.532885645195519,-0.3748628282354527,mobilenetv2_block_metrics_batch8,
6,-0.5690818645525543,-0.5014513666121366,-0.6136315624937934,-0.5322376685679522,-0.3732139306260484,mobilenetv2_block_metrics_batch8,
7,-0.5758384046814244,-0.4972614954516289,-0.6319686874448419,-0.5780001858850928,-0.3823586966015793,mobilenetv2_block_metrics_batch8,
8,-0.5706758370477455,-0.4748624795851173,-0.6319686874448419,-0.5939612254581041,-0.3798121961752248,mobilenetv2_block_metrics_batch8,
9,-0.5706758370477455,-0.4748624795851173,-0.6319686874448419,-0.5940485097857713,-0.3617730958216477,mobilenetv2_block_metrics_batch8,
10,-0.5706758370477455,-0.4748624795851173,-0.6319686874448419,-0.5933302359560683,-0.3840384608828182,mobilenetv2_block_metrics_batch8,
11,-0.5660842446362246,-0.4665180948266378,-0.6228001249693177,-0.5903088305035823,-0.4083646907334791,mobilenetv2_block_metrics_batch8,
12,-0.5469565746939301,-0.4316908957287469,-0.6228001249693177,-0.5575493263937837,-0.3837927621750147,mobilenetv2_block_metrics_batch8,
13,-0.5469565746939301,-0.4316908957287469,-0.6228001249693177,-0.5572888945686264,-0.3828706717984093,mobilenetv2_block_metrics_batch8,
14,-0.5606242940743382,-0.4067461353596484,-0.638842714170222,-0.591957570160751,-0.4076848008418688,mobilenetv2_block_metrics_batch8,
15,-0.5609692582710588,-0.2956526738717566,-0.638842714170222,-0.6015328040904762,-0.337313316170849,mobilenetv2_block_metrics_batch8,
16,-0.5609692582710588,-0.2956526738717566,-0.638842714170222,-0.601151517768489,-0.3355218145375691,mobilenetv2_block_metrics_batch8,
17,-0.5466235058143379,-0.1918428702662664,-0.6273844062070798,-0.5926749653101304,-0.4007054347844414,mobilenetv2_block_metrics_batch8,
