block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name,model
0,-0.3606194468524182,-0.5034295649457674,-0.3546447283722603,-0.2605378903252076,-0.4372532089507404,resnet34_block_metrics_batch8,resnet34
1,-0.1467423337357844,-0.4598955821672421,-0.3546447283722603,-0.2547446836149393,-0.4366137077626933,resnet34_block_metrics_batch8,resnet34
2,-0.1467423337357844,-0.4598955821672421,-0.3546447283722603,-0.2571676107031914,-0.4354493312090875,resnet34_block_metrics_batch8,resnet34
3,-0.1467423337357844,-0.4598955821672421,-0.5015887629973848,-0.3894885515188429,-0.4171726248294889,resnet34_block_metrics_batch8,resnet34
4,-0.2450726671184137,-0.3543903195912962,-0.5015887629973848,-0.3937751127354584,-0.4379001340050004,resnet34_block_metrics_batch8,resnet34
5,-0.1473142295315394,-0.3102718691839298,-0.5015887629973848,-0.3925400576984508,-0.4395176458647902,resnet34_block_metrics_batch8,resnet34
6,-0.1473142295315394,-0.3102718691839298,-0.5015887629973848,-0.3933528780221211,-0.4390880134731094,resnet34_block_metrics_batch8,resnet34
7,-0.1473142295315394,-0.3102718691839298,-0.5750631793962266,-0.4239149040089935,-0.4385759188895252,resnet34_block_metrics_batch8,resnet34
8,-0.2454539309822504,0.1110584466494053,-0.5750631793962266,-0.3882699522157529,-0.4441780463632457,resnet34_block_metrics_batch8,resnet34
9,-0.147600177429417,0.2878156265231573,-0.5750631793962266,-0.387441825578494,-0.4504646194375726,resnet34_block_metrics_batch8,resnet34
10,-0.147600177429417,0.2878156265231573,-0.5750631793962266,-0.3885532375621989,-0.4496230856026615,resnet34_block_metrics_batch8,resnet34
11,-0.147600177429417,0.2878156265231573,-0.5750631793962266,-0.3882747543172828,-0.451767949294749,resnet34_block_metrics_batch8,resnet34
12,-0.147600177429417,0.2878156265231573,-0.5750631793962266,-0.3919485841430004,-0.4517131128502438,resnet34_block_metrics_batch8,resnet34
13,-0.147600177429417,0.2878156265231573,-0.611797988509368,-0.4163886318685176,-0.2766662501072547,resnet34_block_metrics_batch8,resnet34
14,-0.2456445629141688,1.971755420915601,-0.611797988509368,-0.379639279984954,-0.3991511411751035,resnet34_block_metrics_batch8,resnet34
15,-0.1477431513783557,2.679510297161593,-0.611797988509368,-0.3751792623358291,-0.3975521820633411,resnet34_block_metrics_batch8,resnet34
