block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time,model_name
0,-0.3173264878113724,-0.48546588548890934,0.5031628406086328,1.1434512235440726,0.5535541118486433,resnet50_block_metrics_batch8
1,-0.06839752810684878,-0.4279855464230456,0.5031628406086328,0.39905918006209895,0.09614809663891405,resnet50_block_metrics_batch8
2,-0.09813767253739684,-0.43201400430711695,0.5031628406086328,0.548963952120922,0.09322495092085373,resnet50_block_metrics_batch8
3,-0.09813767253739684,-0.43201400430711695,-0.07563458698635081,0.7851575027026844,0.29049248421862456,resnet50_block_metrics_batch8
4,0.2377365925980741,-0.16068010099540855,-0.07563458698635081,-0.0655867210670344,-0.20193230466294035,resnet50_block_metrics_batch8
5,-0.10011308295536729,-0.2479019691253876,-0.07563458698635081,-0.06255872463142421,-0.21023908566030683,resnet50_block_metrics_batch8
6,-0.10011308295536729,-0.2479019691253876,-0.07563458698635081,-0.038953656793470105,-0.2091144471763481,resnet50_block_metrics_batch8
7,-0.10011308295536729,-0.2479019691253876,-0.3650333007838426,0.27882182303414577,0.1574276360812893,resnet50_block_metrics_batch8
8,0.23582929978072328,0.8342799370922014,-0.3650333007838426,-0.20815554110725273,-0.28072191669640645,resnet50_block_metrics_batch8
9,-0.10109397640429056,0.4871880058006143,-0.3650333007838426,-0.20074101778840692,-0.2791291360142474,resnet50_block_metrics_batch8
10,-0.10109397640429056,0.4871880058006143,-0.3650333007838426,-0.20237163340696263,-0.2582053741712395,resnet50_block_metrics_batch8
11,-0.10109397640429056,0.4871880058006143,-0.3650333007838426,-0.20913211468922338,-0.27455057730821447,resnet50_block_metrics_batch8
12,-0.10109397640429056,0.4871880058006143,-0.3650333007838426,-0.20836477146764656,-0.2651049855533119,resnet50_block_metrics_batch8
13,-0.10109397640429056,0.4871880058006143,-0.5097326576825885,0.18520484194216572,0.30074863858818496,resnet50_block_metrics_batch8
14,0.23486202985192403,4.809700295649832,-0.5097326576825885,-0.27706665965296606,-0.19999938941490195,resnet50_block_metrics_batch8
15,-0.10158442312875218,3.424900633180803,-0.5097326576825885,-0.2757768734940261,-0.19865850946634508,resnet50_block_metrics_batch8
