episode,model,bandwidth,final_reward,split_point
1,efficientnetb2,939,0.0,1
2,densenet121,350,0.0321065308334073,2
3,efficientnetb2,350,0.0,1
4,densenet121,750,0.0,1
5,vgg19,550,0.0,2
6,densenet121,750,1.0,6
7,resnet50,939,0.0,1
8,resnet34,550,0.2165759106887793,2
9,densenet121,750,0.0,1
10,efficientnetb1,939,0.7039994792384792,4
11,efficientnetb2,550,0.0,1
12,efficientnetb0,750,0.0,1
13,efficientnetb0,939,0.0,1
14,efficientnetb1,750,0.258386396623143,2
15,resnet34,350,0.1157963719048598,1
16,efficientnetb0,750,0.0,1
17,densenet121,350,0.0,1
18,efficientnetb1,550,0.6878389778024664,4
19,efficientnetb1,750,0.0,1
20,efficientnetb1,350,0.2323535341648464,2
21,efficientnetb0,939,0.0,1
22,efficientnetb0,550,0.0,1
23,densenet121,550,0.1132152876154946,4
24,vgg16,939,0.0060710231598882,1
25,efficientnetb1,550,0.0,1
26,vgg19,350,0.0,1
27,efficientnetb1,550,0.2436659344100393,2
28,efficientnetb2,939,1.0,3
29,resnet50,939,0.0,1
30,vgg19,750,0.0061276421520036,2
31,efficientnetb0,350,0.0,1
32,efficientnetb1,550,0.2436659344100393,2
33,efficientnetb0,550,1.0,3
34,resnet34,550,0.4132006712758983,4
35,vgg19,939,0.1144285467096243,4
36,efficientnetb2,939,0.0,1
37,efficientnetb1,750,0.0,1
38,resnet50,939,0.0,1
39,efficientnetb0,350,0.2601845258832877,2
40,resnet50,939,0.1412757250508847,2
41,efficientnetb1,350,1.0,3
42,densenet121,750,0.0,1
43,resnet34,750,0.2101132021199169,2
44,resnet50,750,0.8540914514899219,6
45,efficientnetb2,750,0.0,1
46,resnet50,939,0.0,1
47,efficientnetb0,350,1.0,3
48,vgg19,550,0.1248786103205342,4
49,efficientnetb0,939,0.0,1
50,efficientnetb2,939,0.0,1
51,resnet34,550,0.2165759106887793,2
52,resnet50,939,0.1412757250508847,2
53,vgg16,550,0.0199271539720846,1
54,resnet34,350,1.0,8
55,densenet121,350,0.0,1
56,vgg16,550,0.0199271539720846,1
57,vgg19,550,0.0,2
58,vgg19,750,0.0863442753339673,3
59,resnet50,350,0.2365622217411404,3
60,resnet34,550,0.4132006712758983,4
61,efficientnetb2,350,0.0,1
62,efficientnetb1,550,0.0,1
63,densenet121,939,0.0,1
64,resnet50,550,0.0097267662088094,1
65,resnet34,350,0.19930012289416,2
66,efficientnetb1,350,0.0,1
67,densenet121,939,0.0,1
68,efficientnetb0,939,0.245393377540531,2
69,efficientnetb0,350,0.0,1
70,efficientnetb1,750,0.258386396623143,2
71,efficientnetb2,550,0.0,1
72,vgg16,550,0.0,2
73,vgg16,550,0.0199271539720846,1
